,mean_test_recall_score,mean_test_f1_score,mean_test_fbeta_score,mean_test_accuracy_score,mean_test_balanced_accuracy,mean_test_auc,mean_test_precision_score
0,0.5554641029229461,0.5462143501369707,0.5534277566945663,0.5905320289425793,0.5869028745353486,0.5869028745353486,0.5390207419419302
1,0.7558993383153475,0.708387536653133,0.7458680363829615,0.7235717951249598,0.7269134609710148,0.7269134609710147,0.666726490455265
2,0.5573454341508811,0.5482140094756669,0.5553364648140937,0.5924641295589987,0.5888462120572627,0.5888462120572627,0.5411080866650223
3,0.763850032354804,0.7135144246788216,0.7532032456093736,0.7274362249095849,0.7311660750819433,0.7311660750819433,0.6695746475552639
4,0.5576428495841133,0.549114354963423,0.5557489864766649,0.5935675013987369,0.5898536205901649,0.5898536205901649,0.5426671939641537
5,0.7501246146694758,0.7046563098998813,0.7405433010411753,0.7206738346601527,0.7237353576441442,0.7237353576441442,0.6646040459728461
6,0.5564284541269786,0.5492215909763927,0.5548137739909295,0.5946718636295487,0.5907395760021088,0.5907395760021088,0.5439558840042559
7,0.7601442640257909,0.7115950887916181,0.7498957410086062,0.7261939697677791,0.7296513719364078,0.7296513719364078,0.6690172133738062
8,0.6484749452479168,0.5930712629141754,0.6365524761066023,0.6043302335616414,0.6087699680978544,0.6087699680978544,0.5466230032763785
9,0.7515674261191125,0.6972957886795328,0.7400064385068882,0.710185288456733,0.7144741115179372,0.7144741115179372,0.65068438052759
10,0.6459834898973894,0.5926182038498162,0.634532351894834,0.6051586576026076,0.6092525421236787,0.6092525421236787,0.5475836807241075
11,0.7591820538525198,0.7007298718691242,0.7467072523598263,0.7118426698261665,0.7166446502181367,0.7166446502181367,0.6507782012718379
