,mean_test_recall_score,mean_test_f1_score,mean_test_accuracy_score,mean_test_my_auc,mean_test_balanced_accuracy,mean_test_precision_score
0,0.7693941223832527,0.6140298791765858,0.7098384666836742,0.7940421394390568,0.7268480795721529,0.5108883673413156
1,0.763022342995169,0.6117994842581705,0.7094907917360883,0.79376049263723,0.7247799246024034,0.510616720526398
2,0.764182769726248,0.6124652287939253,0.7098383760252786,0.7938324636841209,0.7253601379679427,0.5110147348564977
3,0.7636020531400965,0.6114264297839918,0.7087954418409166,0.7936207397987958,0.7244488159391492,0.5098428826450921
4,0.7607035024154589,0.6114999962505591,0.7100120775114779,0.7937690796357493,0.7244898535425531,0.511241488653403
5,0.7711312399355879,0.6149672578843172,0.7103602057510422,0.7948152167913394,0.7277166383483205,0.5114358015389106
6,0.7647574476650564,0.612573072450756,0.7098383760252784,0.7942991059322136,0.7255232841902033,0.5109321635170311
7,0.7641787439613527,0.6122858538013215,0.709664402563892,0.7940630909654877,0.7252339323383513,0.5107850863703177
8,0.7664955716586151,0.6129703629703629,0.7096646745390792,0.7940068165019163,0.7258955751984084,0.5107168172957647
9,0.7624406199677939,0.6113172401340496,0.7091427541549195,0.7940502937128472,0.724364870341572,0.5102086723682968
10,0.767079307568438,0.6109289115163877,0.7068829123248094,0.7939519662051738,0.7240761664518792,0.5076124690603186
11,0.7641817632850243,0.6124193893637292,0.7098386480004656,0.7942324925724339,0.7253596347473308,0.510965408671679
12,0.7659198872785828,0.6128431523191719,0.7096643119054962,0.7938964656964034,0.7257319257555359,0.5107664313929844
13,0.7659178743961353,0.6118168727280738,0.7084476762349351,0.793849565685364,0.7248615700843071,0.5093590037839796
14,0.763600040257649,0.612383247812179,0.7100119868530821,0.7939604204614451,0.7253171587279303,0.5111695511456231
15,0.7722956924315619,0.6117196643655053,0.7058395248484691,0.7940009683434487,0.7248214676762877,0.5064337279079637
16,0.7647614734299517,0.6113652293337499,0.708273521456757,0.79414517517177,0.7244075623483589,0.5092269336339396
17,0.767079307568438,0.612647343176114,0.7089689620103244,0.7938373826468533,0.7255664794176021,0.5099785205038626
18,0.7653391706924316,0.6100803809868448,0.7065355093524107,0.7936285513426015,0.7233302907610195,0.5072146217979552
19,0.7659198872785828,0.6119811620444788,0.7086214683795301,0.7936526069377549,0.7249867692726745,0.5095743093079166
20,0.7699748389694042,0.6125335963809534,0.7077517823893892,0.7937249379636229,0.7255239321523623,0.5085574206841091
21,0.763599033816425,0.610537617921497,0.7077518730477848,0.7938137162789692,0.7237021497944521,0.5086066034935457
22,0.7682377214170693,0.6134398574238805,0.7094905197609012,0.7937406420465045,0.7262698790890613,0.5105661263546587
23,0.7647604669887279,0.6113466004771335,0.7082738840903401,0.7933782767086401,0.7244070591277469,0.5092141898321519
24,0.7641807568438003,0.6123136393129288,0.7096642212471006,0.7933837693878676,0.7252349387795752,0.5108055447081196
25,0.7746095008051529,0.6126720042488656,0.7061875624296378,0.7933851388078935,0.7257299863687962,0.506749064484327
26,0.7630243558776167,0.6101028651510734,0.7074048327089689,0.7935002143374827,0.7232906180779043,0.5082528011251174
27,0.7647604669887279,0.6102144725947304,0.7068829123248094,0.7932365049881086,0.7234135171505983,0.5076400072153006
28,0.7664985909822866,0.6117251208589863,0.7081000919457449,0.7929021407649793,0.7247793501359521,0.508971267271214
29,0.764759460547504,0.6114749441493164,0.7084474042597478,0.7928259677134856,0.7245307486542787,0.5093875392125212
30,0.772872383252818,0.6103630850131556,0.7039270859907575,0.7928574838729417,0.723619500121193,0.5043229664989063
31,0.7618649355877617,0.6096351554033218,0.7072302246388125,0.792902083768308,0.7228351006801202,0.5081113491518116
32,0.7630243558776169,0.6091689104093684,0.706186837162472,0.7926641459138786,0.7224212688478993,0.5069497699071627
33,0.764759460547504,0.609923837019832,0.7065349654020365,0.7924183530181838,0.7231646284356993,0.5072368219696033
34,0.7624446457326893,0.6095195801468432,0.7068826403496223,0.7925209200282702,0.7227523775111534,0.5076915648352024
35,0.7699768518518519,0.6102920306329974,0.704970473467098,0.792848647139007,0.723537854639289,0.5054687347301005
36,0.7647614734299517,0.6109427873931658,0.7077519637061805,0.7924708544521,0.7240349841069281,0.5086414005218323
37,0.764182769726248,0.6103720446584263,0.707230043322021,0.7922419760685977,0.7234972467607892,0.5081049498409099
38,0.7653411835748792,0.6109922692042696,0.707577990244794,0.7918640641386543,0.7240764536851048,0.5084521666988152
39,0.7641817632850242,0.6102077941980758,0.707056251177426,0.7918067809839905,0.7233725507930338,0.5078767317280432
40,0.7717149758454106,0.6094673090201277,0.7032314641203987,0.7918298743853359,0.7227924109232021,0.5035914008627246
41,0.7653401771336554,0.6099966436046163,0.7063609012822543,0.7917274303680665,0.7232066012344879,0.5070751874905348
42,0.7682387278582931,0.6110421035483448,0.7065350560604321,0.7916389047879604,0.7241591056082326,0.507250405187815
43,0.7670793075684381,0.6106731611421866,0.7065351467188279,0.7913257755747064,0.723827780957592,0.5072505576993439
44,0.7665006038647344,0.6109301746009638,0.7070564324942173,0.7912672684915201,0.7240352000943145,0.5078550628958426
45,0.7705575684380032,0.608446807446097,0.7023620501054447,0.7909998138608705,0.7218411289780676,0.5026953202622421
46,0.7653401771336554,0.6107140356636706,0.7072301339804167,0.790925977672904,0.7238275649702057,0.5080700252432694
47,0.7653442028985507,0.6101700316644411,0.7065350560604321,0.7909789650784393,0.7233328068640792,0.5073137262150045
48,0.7647624798711755,0.6085551286705897,0.7047964093473157,0.7907440292986889,0.7219242106260993,0.5053376230989164
49,0.7636050724637681,0.610182163957448,0.7072303152972083,0.7908543651050778,0.7233325908766929,0.508096505859208
50,0.7688214573268922,0.6082124627966847,0.702709634394635,0.7904208514222769,0.7215940371582299,0.5031280334049243
51,0.7636040660225443,0.6085196711234055,0.7051435403445273,0.7902091635348496,0.7218417746903582,0.5057994394126234
52,0.7630253623188405,0.6074651760015956,0.7041009687937484,0.7902308065208992,0.7209314591027884,0.5045932911234318
53,0.7659219001610307,0.6076607182980395,0.7032318267539815,0.7901533637935545,0.7211378005524477,0.5036025192372627
54,0.7601288244766505,0.6075414452521116,0.7053180577562882,0.790174273322438,0.7209735031474162,0.5059730250481694
55,0.7693991545893719,0.6069999450035748,0.7009708970231228,0.7902099614882491,0.7205167655708906,0.501222332171989
56,0.7636040660225443,0.6085121459669982,0.7051435403445273,0.7901111915064161,0.7218417746903582,0.5057897648824288
57,0.7647634863123992,0.6091500325037283,0.7054915779256961,0.7899803983947337,0.7224214848352858,0.5061594058011792
58,0.7653421900161032,0.6077752526396702,0.7035794110431718,0.7897773260041614,0.7212205237214148,0.5040122365431765
59,0.763606078904992,0.6080803328745019,0.7046227078611164,0.7898086861727275,0.7214702028901513,0.5051884935061367
60,0.7670823268921095,0.6061068758380418,0.7007974675121106,0.789472747791529,0.7197309299636901,0.5009822262489144
61,0.7618669484702093,0.6062884354453498,0.7030575813174078,0.7895181208917399,0.7198554811898985,0.5034782588827674
62,0.7618669484702093,0.6058446929564916,0.7025363862004141,0.7894840683804066,0.7194829029484678,0.5028636808898346
63,0.7641837761674718,0.6057439238002639,0.7014930893824695,0.7893609548202386,0.7193993893256634,0.5017216489075321
64,0.7612872383252819,0.6058026263739396,0.7027101783450092,0.7893698995478665,0.7194414333702911,0.5030585357914231
65,0.7676610305958133,0.6058983662031944,0.7002758191031382,0.7885412361918064,0.7195235108269676,0.5004547352830642
66,0.7601278180354267,0.6056175574927648,0.7028835171976257,0.7888716713943906,0.7192343014667943,0.5033151844499493
67,0.7618689613526569,0.6064346942424147,0.7032317360955859,0.7890603581250856,0.7199806803782659,0.5036810430152788
68,0.7641847826086957,0.6060290938129345,0.7018409456468467,0.7888287206527139,0.7196482780405624,0.5021138888842347
69,0.7630263687600644,0.6070427185489331,0.7035797736767545,0.7888100234946279,0.7205593840819695,0.5040096122677474
70,0.7693941223832527,0.6140298791765858,0.7098384666836742,0.7940421394390568,0.7268480795721529,0.5108883673413156
71,0.763022342995169,0.6117994842581705,0.7094907917360883,0.79376049263723,0.7247799246024034,0.510616720526398
72,0.764182769726248,0.6124652287939253,0.7098383760252786,0.7938324636841209,0.7253601379679427,0.5110147348564977
73,0.7636020531400965,0.6114264297839918,0.7087954418409166,0.7936207397987958,0.7244488159391492,0.5098428826450921
74,0.7607035024154589,0.6114999962505591,0.7100120775114779,0.7937690796357493,0.7244898535425531,0.511241488653403
75,0.7711312399355879,0.6149672578843172,0.7103602057510422,0.7948152167913394,0.7277166383483205,0.5114358015389106
76,0.7647574476650564,0.612573072450756,0.7098383760252784,0.7942991059322136,0.7255232841902033,0.5109321635170311
77,0.7641787439613527,0.6122858538013215,0.709664402563892,0.7940630909654877,0.7252339323383513,0.5107850863703177
78,0.7664955716586151,0.6129703629703629,0.7096646745390792,0.7940068165019163,0.7258955751984084,0.5107168172957647
79,0.7624406199677939,0.6113172401340496,0.7091427541549195,0.7940502937128472,0.724364870341572,0.5102086723682968
80,0.767079307568438,0.6109289115163877,0.7068829123248094,0.7939519662051738,0.7240761664518792,0.5076124690603186
81,0.7641817632850243,0.6124193893637292,0.7098386480004656,0.7942324925724339,0.7253596347473308,0.510965408671679
82,0.7659198872785828,0.6128431523191719,0.7096643119054962,0.7938964656964034,0.7257319257555359,0.5107664313929844
83,0.7659178743961353,0.6118168727280738,0.7084476762349351,0.793849565685364,0.7248615700843071,0.5093590037839796
84,0.763600040257649,0.612383247812179,0.7100119868530821,0.7939604204614451,0.7253171587279303,0.5111695511456231
85,0.7722956924315619,0.6117196643655053,0.7058395248484691,0.7940009683434487,0.7248214676762877,0.5064337279079637
86,0.7647614734299517,0.6113652293337499,0.708273521456757,0.79414517517177,0.7244075623483589,0.5092269336339396
87,0.767079307568438,0.612647343176114,0.7089689620103244,0.7938373826468533,0.7255664794176021,0.5099785205038626
88,0.7653391706924316,0.6100803809868448,0.7065355093524107,0.7936285513426015,0.7233302907610195,0.5072146217979552
89,0.7659198872785828,0.6119811620444788,0.7086214683795301,0.7936526069377549,0.7249867692726745,0.5095743093079166
90,0.7699748389694042,0.6125335963809534,0.7077517823893892,0.7937249379636229,0.7255239321523623,0.5085574206841091
91,0.763599033816425,0.610537617921497,0.7077518730477848,0.7938137162789692,0.7237021497944521,0.5086066034935457
92,0.7682377214170693,0.6134398574238805,0.7094905197609012,0.7937406420465045,0.7262698790890613,0.5105661263546587
93,0.7647604669887279,0.6113466004771335,0.7082738840903401,0.7933782767086401,0.7244070591277469,0.5092141898321519
94,0.7641807568438003,0.6123136393129288,0.7096642212471006,0.7933837693878676,0.7252349387795752,0.5108055447081196
95,0.7746095008051529,0.6126720042488656,0.7061875624296378,0.7933851388078935,0.7257299863687962,0.506749064484327
96,0.7630243558776167,0.6101028651510734,0.7074048327089689,0.7935002143374827,0.7232906180779043,0.5082528011251174
97,0.7647604669887279,0.6102144725947304,0.7068829123248094,0.7932365049881086,0.7234135171505983,0.5076400072153006
98,0.7664985909822866,0.6117251208589863,0.7081000919457449,0.7929021407649793,0.7247793501359521,0.508971267271214
99,0.764759460547504,0.6114749441493164,0.7084474042597478,0.7928259677134856,0.7245307486542787,0.5093875392125212
100,0.772872383252818,0.6103630850131556,0.7039270859907575,0.7928574838729417,0.723619500121193,0.5043229664989063
101,0.7618649355877617,0.6096351554033218,0.7072302246388125,0.792902083768308,0.7228351006801202,0.5081113491518116
102,0.7630243558776169,0.6091689104093684,0.706186837162472,0.7926641459138786,0.7224212688478993,0.5069497699071627
103,0.764759460547504,0.609923837019832,0.7065349654020365,0.7924183530181838,0.7231646284356993,0.5072368219696033
104,0.7624446457326893,0.6095195801468432,0.7068826403496223,0.7925209200282702,0.7227523775111534,0.5076915648352024
105,0.7699768518518519,0.6102920306329974,0.704970473467098,0.792848647139007,0.723537854639289,0.5054687347301005
106,0.7647614734299517,0.6109427873931658,0.7077519637061805,0.7924708544521,0.7240349841069281,0.5086414005218323
107,0.764182769726248,0.6103720446584263,0.707230043322021,0.7922419760685977,0.7234972467607892,0.5081049498409099
108,0.7653411835748792,0.6109922692042696,0.707577990244794,0.7918640641386543,0.7240764536851048,0.5084521666988152
109,0.7641817632850242,0.6102077941980758,0.707056251177426,0.7918067809839905,0.7233725507930338,0.5078767317280432
110,0.7717149758454106,0.6094673090201277,0.7032314641203987,0.7918298743853359,0.7227924109232021,0.5035914008627246
111,0.7653401771336554,0.6099966436046163,0.7063609012822543,0.7917274303680665,0.7232066012344879,0.5070751874905348
112,0.7682387278582931,0.6110421035483448,0.7065350560604321,0.7916389047879604,0.7241591056082326,0.507250405187815
113,0.7670793075684381,0.6106731611421866,0.7065351467188279,0.7913257755747064,0.723827780957592,0.5072505576993439
114,0.7665006038647344,0.6109301746009638,0.7070564324942173,0.7912672684915201,0.7240352000943145,0.5078550628958426
115,0.7705575684380032,0.608446807446097,0.7023620501054447,0.7909998138608705,0.7218411289780676,0.5026953202622421
116,0.7653401771336554,0.6107140356636706,0.7072301339804167,0.790925977672904,0.7238275649702057,0.5080700252432694
117,0.7653442028985507,0.6101700316644411,0.7065350560604321,0.7909789650784393,0.7233328068640792,0.5073137262150045
118,0.7647624798711755,0.6085551286705897,0.7047964093473157,0.7907440292986889,0.7219242106260993,0.5053376230989164
119,0.7636050724637681,0.610182163957448,0.7072303152972083,0.7908543651050778,0.7233325908766929,0.508096505859208
120,0.7688214573268922,0.6082124627966847,0.702709634394635,0.7904208514222769,0.7215940371582299,0.5031280334049243
121,0.7636040660225443,0.6085196711234055,0.7051435403445273,0.7902091635348496,0.7218417746903582,0.5057994394126234
122,0.7630253623188405,0.6074651760015956,0.7041009687937484,0.7902308065208992,0.7209314591027884,0.5045932911234318
123,0.7659219001610307,0.6076607182980395,0.7032318267539815,0.7901533637935545,0.7211378005524477,0.5036025192372627
124,0.7601288244766505,0.6075414452521116,0.7053180577562882,0.790174273322438,0.7209735031474162,0.5059730250481694
125,0.7693991545893719,0.6069999450035748,0.7009708970231228,0.7902099614882491,0.7205167655708906,0.501222332171989
126,0.7636040660225443,0.6085121459669982,0.7051435403445273,0.7901111915064161,0.7218417746903582,0.5057897648824288
127,0.7647634863123992,0.6091500325037283,0.7054915779256961,0.7899803983947337,0.7224214848352858,0.5061594058011792
128,0.7653421900161032,0.6077752526396702,0.7035794110431718,0.7897773260041614,0.7212205237214148,0.5040122365431765
129,0.763606078904992,0.6080803328745019,0.7046227078611164,0.7898086861727275,0.7214702028901513,0.5051884935061367
130,0.7670823268921095,0.6061068758380418,0.7007974675121106,0.789472747791529,0.7197309299636901,0.5009822262489144
131,0.7618669484702093,0.6062884354453498,0.7030575813174078,0.7895181208917399,0.7198554811898985,0.5034782588827674
132,0.7618669484702093,0.6058446929564916,0.7025363862004141,0.7894840683804066,0.7194829029484678,0.5028636808898346
133,0.7641837761674718,0.6057439238002639,0.7014930893824695,0.7893609548202386,0.7193993893256634,0.5017216489075321
134,0.7612872383252819,0.6058026263739396,0.7027101783450092,0.7893698995478665,0.7194414333702911,0.5030585357914231
135,0.7676610305958133,0.6058983662031944,0.7002758191031382,0.7885412361918064,0.7195235108269676,0.5004547352830642
136,0.7601278180354267,0.6056175574927648,0.7028835171976257,0.7888716713943906,0.7192343014667943,0.5033151844499493
137,0.7618689613526569,0.6064346942424147,0.7032317360955859,0.7890603581250856,0.7199806803782659,0.5036810430152788
138,0.7641847826086957,0.6060290938129345,0.7018409456468467,0.7888287206527139,0.7196482780405624,0.5021138888842347
139,0.7630263687600644,0.6070427185489331,0.7035797736767545,0.7888100234946279,0.7205593840819695,0.5040096122677474
140,0.7699758454106279,0.6101055633800446,0.7047974065896687,0.7943330571994595,0.7234131586715336,0.5052466605855427
141,0.7670793075684381,0.6110421021857154,0.7070570671029873,0.7940030254733124,0.7242003591990228,0.5077779605103259
142,0.7693971417069244,0.6128953086916592,0.7084479482101221,0.7941767925753136,0.7258560472568402,0.5093190825009388
