,mean_test_recall_score,mean_test_f1_score,mean_test_accuracy_score,mean_test_auc,mean_test_balanced_accuracy,mean_test_precision_score
0,,,,,,
1,,,,,,
2,,,,,,
3,,,,,,
4,,,,,,
5,,,,,,
6,,,,,,
7,,,,,,
8,,,,,,
9,,,,,,
10,,,,,,
11,,,,,,
12,0.7340640096618358,0.5412186846688855,0.6265640159783609,0.6572704549054336,0.6572704549054335,0.42863151798829985
13,,,,,,
14,,,,,,
15,0.7230555555555555,0.5400192643160886,0.630388803035388,0.6568581304851796,0.6568581304851796,0.43093483863738236
16,0.7230555555555555,0.5400192643160886,0.630388803035388,0.6568581304851796,0.6568581304851796,0.43093483863738236
17,0.7340640096618358,0.5412186846688855,0.6265640159783609,0.6572704549054336,0.6572704549054335,0.42863151798829985
18,0.7230555555555555,0.5400192643160886,0.630388803035388,0.6568581304851796,0.6568581304851796,0.43093483863738236
19,0.7230555555555555,0.5400192643160886,0.630388803035388,0.6568581304851796,0.6568581304851796,0.43093483863738236
20,,,,,,
21,,,,,,
22,0.742751610305958,0.5486787255558524,0.6333439041022743,0.6645948811589404,0.6645948811589403,0.4350143031036618
23,,,,,,
24,,,,,,
25,0.7421729066022545,0.5493120419926182,0.6345609024064183,0.6652990712842369,0.6652990712842369,0.4360106005592421
26,0.7421729066022545,0.5493120419926182,0.6345609024064183,0.6652990712842369,0.6652990712842369,0.4360106005592421
27,0.742751610305958,0.5486787255558524,0.6333439041022743,0.6645948811589404,0.6645948811589403,0.4350143031036618
28,0.7421729066022545,0.5494284652601668,0.6347347852094091,0.6654232640313805,0.6654232640313805,0.4361572169177365
29,0.7415931964573269,0.5491167418028521,0.6345609024064184,0.6651334089589168,0.6651334089589168,0.435964648791529
30,,,,,,
31,,,,,,
32,0.7462278582930756,0.5506641886372482,0.6345606304312311,0.6664571978996426,0.6664571978996426,0.4363187951660979
33,,,,,,
34,,,,,,
35,0.7450684380032206,0.5505081889618978,0.6349083960372127,0.6663742587432894,0.6663742587432894,0.4365195631736068
36,0.7450684380032206,0.5505081889618978,0.6349083960372127,0.6663742587432894,0.6663742587432894,0.4365195631736068
37,0.7462278582930756,0.5506641886372482,0.6345606304312311,0.6664571978996426,0.6664571978996426,0.4363187951660979
38,0.7444887278582931,0.5501975152705385,0.634734513234222,0.6660844036708257,0.6660844036708257,0.4363278693964574
39,0.7444887278582931,0.5501942733156415,0.6347346038926177,0.6660844036708257,0.6660844036708257,0.43632393610336906
40,,,,,,
41,,,,,,
42,0.7468075684380032,0.5507354245460067,0.6343867476282404,0.6664986674778194,0.6664986674778194,0.4362123938703801
43,,,,,,
44,,,,,,
45,0.7462278582930756,0.5506604271709148,0.6345606304312311,0.6664571978996426,0.6664571978996426,0.43631473439825247
46,0.7462278582930756,0.5506604271709148,0.6345606304312311,0.6664571978996426,0.6664571978996426,0.43631473439825247
