,mean_test_recall_score,mean_test_f1_score,mean_test_accuracy_score,mean_test_auc,mean_test_balanced_accuracy,mean_test_precision_score
0,0.0,0.0,0.96,0.5,0.5,0.0
1,0.0,0.0,0.96,0.5,0.5,0.0
2,0.0,0.0,0.96,0.5,0.5,0.0
3,0.0,0.0,0.96,0.5,0.5,0.0
4,0.0,0.0,0.96,0.5,0.5,0.0
5,0.0,0.0,0.96,0.5,0.5,0.0
6,0.0,0.0,0.96,0.5,0.5,0.0
7,0.0,0.0,0.96,0.5,0.5,0.0
8,0.0,0.0,0.96,0.5,0.5,0.0
9,0.005208333333333333,0.010256735615728955,0.9600833333333332,0.5025390625,0.5025390625,0.4333333333333333
10,0.013541666666666665,0.02637773832682499,0.9604166666666666,0.5067057291666667,0.5067057291666667,0.6714285714285715
11,0.014583333333333332,0.028593432423452875,0.9605,0.5072482638888889,0.5072482638888889,0.9
12,0.007291666666666666,0.014265315734331829,0.96,0.5034939236111111,0.5034939236111111,0.36
13,0.035416666666666666,0.06667407596325124,0.960625,0.5172960069444444,0.5172960069444444,0.6656259426847663
14,0.042708333333333334,0.0799832390660963,0.9609583333333334,0.5209635416666666,0.5209635416666666,0.7272689075630252
15,0.040625,0.07598316266575948,0.9607916666666666,0.5198784722222223,0.5198784722222223,0.6704621848739496
16,0.04895833333333333,0.09118486594774085,0.9610000000000001,0.5239800347222222,0.5239800347222222,0.6749875124875124
17,0.0875,0.15372700502656628,0.9616666666666667,0.542795138888889,0.542795138888889,0.666946386946387
18,0.08854166666666667,0.1547677695532707,0.9615,0.5432074652777779,0.5432074652777777,0.6435548044836142
19,0.08333333333333334,0.14651948304984766,0.9613750000000001,0.5406467013888888,0.5406467013888888,0.6325896810337038
20,0.096875,0.16869970981303087,0.961875,0.5473958333333333,0.5473958333333333,0.6687097016044383
21,0.12708333333333335,0.20917304886760033,0.9616250000000001,0.5617404513888888,0.561740451388889,0.6000563909774436
22,0.12604166666666666,0.20694751361625224,0.9615416666666666,0.5611979166666666,0.5611979166666666,0.6033319886093972
23,0.11458333333333334,0.19106904243114248,0.9615,0.5556857638888889,0.5556857638888889,0.5947322057787174
24,0.14166666666666666,0.22940107786415234,0.9619583333333332,0.5689019097222222,0.5689019097222222,0.614526933015305
25,0.18020833333333336,0.2755250981566949,0.9620833333333334,0.5874348958333333,0.5874348958333334,0.5905600036755697
26,0.16562500000000002,0.25768502779105873,0.9617916666666668,0.580295138888889,0.580295138888889,0.5860764643704752
27,0.15729166666666666,0.250036028658969,0.9623333333333333,0.5765842013888889,0.5765842013888889,0.617334047388227
28,0.178125,0.27336250216105756,0.96225,0.5865234375,0.5865234375,0.6022404649869786
29,0.19895833333333335,0.29526997116651044,0.9620000000000001,0.5963758680555555,0.5963758680555555,0.5785602510234862
30,0.18229166666666669,0.27538914508857654,0.9616250000000001,0.5881944444444444,0.5881944444444444,0.5683334171649324
31,0.17916666666666667,0.2770820357817801,0.9626666666666667,0.5872395833333334,0.5872395833333334,0.6204767737130654
32,0.19791666666666669,0.29581910032888364,0.9623333333333333,0.5960503472222223,0.5960503472222223,0.5960077583626292
33,0.221875,0.3191310599558745,0.9620833333333334,0.6074001736111111,0.6074001736111111,0.5698805896952553
34,0.203125,0.29932627734258144,0.9619166666666666,0.5983289930555555,0.5983289930555555,0.5747723570722849
35,0.19583333333333333,0.29534191895622125,0.9626666666666667,0.5952256944444445,0.5952256944444445,0.604824113268136
36,0.0,0.0,0.96,0.5,0.5,0.0
37,0.0,0.0,0.96,0.5,0.5,0.0
38,0.0,0.0,0.96,0.5,0.5,0.0
39,0.0,0.0,0.96,0.5,0.5,0.0
40,0.0,0.0,0.96,0.5,0.5,0.0
41,0.0,0.0,0.96,0.5,0.5,0.0
42,0.0,0.0,0.96,0.5,0.5,0.0
43,0.0010416666666666667,0.002072538860103627,0.9600416666666666,0.5005208333333333,0.5005208333333333,0.2
44,0.0,0.0,0.96,0.5,0.5,0.0
45,0.005208333333333333,0.010256735615728955,0.9600833333333332,0.5025390625,0.5025390625,0.4333333333333333
46,0.013541666666666665,0.02637773832682499,0.9604166666666666,0.5067057291666667,0.5067057291666667,0.6714285714285715
47,0.012499999999999999,0.024511803090558438,0.960375,0.5061848958333333,0.5061848958333333,0.86
48,0.007291666666666666,0.014265315734331829,0.96,0.5034939236111111,0.5034939236111111,0.36
49,0.036458333333333336,0.06854004802103007,0.9606666666666668,0.5178168402777777,0.5178168402777777,0.6711204481792717
50,0.042708333333333334,0.07993538232839534,0.9609166666666666,0.5209418402777779,0.5209418402777778,0.7152664655605833
51,0.04375,0.08139640473185872,0.9609166666666666,0.5214409722222222,0.5214409722222222,0.6816541353383458
52,0.04895833333333333,0.09118486594774085,0.9610000000000001,0.5239800347222222,0.5239800347222222,0.6749875124875124
53,0.08854166666666666,0.1551308469733264,0.9616250000000001,0.5432725694444445,0.5432725694444445,0.658969178969179
54,0.08854166666666667,0.15402844287800038,0.9613333333333334,0.5431206597222222,0.5431206597222222,0.6184873949579832
55,0.07916666666666668,0.13994452940469,0.96125,0.5385850694444445,0.5385850694444445,0.6223327645234338
56,0.096875,0.16869970981303087,0.961875,0.5473958333333333,0.5473958333333333,0.6687097016044383
57,0.13020833333333334,0.2129865185319731,0.9615833333333332,0.5632161458333333,0.5632161458333333,0.5950254745254745
58,0.13020833333333334,0.21318062592616807,0.9617916666666666,0.5633246527777778,0.5633246527777778,0.6119953818241795
59,0.12395833333333335,0.20563883522685994,0.961875,0.5603732638888889,0.5603732638888888,0.6151621188206554
60,0.14166666666666666,0.22958997349931393,0.9620000000000001,0.5689236111111111,0.5689236111111111,0.6166385468916248
61,0.18124999999999997,0.2772830618684853,0.9622083333333332,0.5879991319444444,0.5879991319444444,0.5977597431031966
62,0.16041666666666665,0.25033793019992034,0.9617083333333334,0.5777560763888889,0.5777560763888889,0.5845495556488238
63,0.15416666666666667,0.24476700805472568,0.9619583333333332,0.5748914930555555,0.5748914930555555,0.6014666564815522
64,0.18333333333333335,0.28087087348185497,0.9625416666666669,0.5891710069444445,0.5891710069444445,0.612832481661187
65,0.209375,0.3081626259834215,0.962375,0.6015625,0.6015625,0.5867955211573678
66,0.1875,0.28273255337689535,0.9620000000000001,0.5908854166666667,0.5908854166666667,0.5803089784864994
67,0.178125,0.27412884986356634,0.9623333333333333,0.5865668402777777,0.5865668402777777,0.6023374856133955
68,0.19791666666666669,0.29581910032888364,0.9623333333333333,0.5960503472222223,0.5960503472222223,0.5960077583626292
69,0.2208333333333333,0.31737819356135055,0.9619583333333332,0.6068359375,0.6068359375,0.5673260073260072
70,0.21354166666666666,0.31240787188459673,0.9624166666666666,0.6035807291666667,0.6035807291666667,0.5845865328960062
71,0.20208333333333334,0.3014856737096996,0.9625833333333332,0.5981770833333333,0.5981770833333333,0.5983242229468644
72,0.0,0.0,0.96,0.5,0.5,0.0
73,0.0,0.0,0.96,0.5,0.5,0.0
74,0.0,0.0,0.96,0.5,0.5,0.0
75,0.0,0.0,0.96,0.5,0.5,0.0
76,0.0,0.0,0.96,0.5,0.5,0.0
77,0.0,0.0,0.96,0.5,0.5,0.0
78,0.0,0.0,0.96,0.5,0.5,0.0
79,0.0,0.0,0.96,0.5,0.5,0.0
80,0.0,0.0,0.96,0.5,0.5,0.0
81,0.005208333333333333,0.010256735615728955,0.9600833333333332,0.5025390625,0.5025390625,0.4333333333333333
82,0.013541666666666665,0.02637773832682499,0.9604166666666666,0.5067057291666667,0.5067057291666667,0.6714285714285715
83,0.013541666666666665,0.026562975570660997,0.9604166666666666,0.5067057291666666,0.5067057291666666,0.86
84,0.007291666666666666,0.014265315734331829,0.9600416666666666,0.503515625,0.503515625,0.36
85,0.03645833333333333,0.06844449286787717,0.960625,0.517795138888889,0.517795138888889,0.6584830855419092
86,0.04375,0.0820132399138714,0.9610416666666666,0.5215060763888889,0.5215060763888889,0.7377777777777779
87,0.042708333333333334,0.07958726063580432,0.9608333333333334,0.5208984375,0.5208984375,0.6587301587301587
88,0.04895833333333333,0.09108365137284206,0.9609583333333334,0.5239583333333334,0.5239583333333333,0.6668992771933949
89,0.084375,0.1480953711305111,0.961375,0.5411458333333333,0.5411458333333333,0.6392255892255893
90,0.08125000000000002,0.14221000420411228,0.9610833333333334,0.5394965277777779,0.5394965277777779,0.6080573593073593
91,0.08020833333333335,0.14128661198243833,0.9612499999999999,0.5390842013888889,0.5390842013888889,0.6228146853146853
92,0.09375,0.16315352267598654,0.9616250000000001,0.5457682291666666,0.5457682291666667,0.6494891073838442
93,0.128125,0.21001078035576892,0.9615,0.5621744791666667,0.5621744791666667,0.5905304219589933
94,0.13645833333333335,0.22389871098302763,0.9622083333333334,0.5665364583333334,0.5665364583333334,0.6358585858585859
95,0.12708333333333333,0.21026010929218156,0.962,0.5619357638888889,0.5619357638888889,0.6261309214915857
96,0.13958333333333334,0.2265165102309481,0.9619166666666666,0.5678819444444445,0.5678819444444445,0.6132174942600459
97,0.17916666666666664,0.27560739863443334,0.9623333333333333,0.5870659722222222,0.5870659722222222,0.6023655065602991
98,0.17187500000000003,0.2657083497810322,0.962,0.5833984375,0.5833984375,0.5939019184440919
99,0.153125,0.24447191097330342,0.9621666666666666,0.5745008680555556,0.5745008680555556,0.6150517201973031
100,0.18229166666666669,0.2787741228090051,0.962375,0.5885850694444443,0.5885850694444443,0.6071023238667123
101,0.19791666666666669,0.294369160348736,0.9620416666666666,0.5958984375,0.5958984375,0.5805010982244878
102,0.18958333333333333,0.2847406064150006,0.961875,0.5918185763888888,0.5918185763888888,0.5765284771490584
103,0.184375,0.2837275827864886,0.9628333333333332,0.5898220486111112,0.5898220486111112,0.6237495849372179
104,0.19583333333333336,0.29330438681926857,0.9622916666666667,0.5950303819444445,0.5950303819444445,0.5937461300309598
105,0.228125,0.3281670773353947,0.9625833333333332,0.6106553819444445,0.6106553819444445,0.586527817124832
106,0.21458333333333335,0.3150785287545941,0.9626666666666667,0.6042100694444444,0.6042100694444444,0.5953894708568359
107,0.19687499999999997,0.2982947116927615,0.9629583333333335,0.595876736111111,0.595876736111111,0.6200149572649573
108,0.0,0.0,0.96,0.5,0.5,0.0
109,0.0,0.0,0.96,0.5,0.5,0.0
110,0.0,0.0,0.96,0.5,0.5,0.0
111,0.0,0.0,0.96,0.5,0.5,0.0
112,0.0,0.0,0.96,0.5,0.5,0.0
113,0.0,0.0,0.96,0.5,0.5,0.0
114,0.0,0.0,0.96,0.5,0.5,0.0
115,0.0,0.0,0.96,0.5,0.5,0.0
116,0.0,0.0,0.96,0.5,0.5,0.0
117,0.005208333333333333,0.010256735615728955,0.9600833333333332,0.5025390625,0.5025390625,0.4333333333333333
118,0.013541666666666665,0.02637773832682499,0.9604166666666666,0.5067057291666667,0.5067057291666667,0.6714285714285715
119,0.013541666666666665,0.026562975570660997,0.9604166666666666,0.5067057291666666,0.5067057291666666,0.86
120,0.00625,0.012265937302756155,0.9599583333333334,0.5029730902777778,0.5029730902777778,0.35
121,0.034375,0.06483381096509151,0.9605833333333333,0.5167751736111111,0.5167751736111111,0.6597435897435898
122,0.04375,0.0818476170154395,0.9610833333333332,0.5215277777777778,0.5215277777777778,0.7428571428571429
123,0.042708333333333334,0.07965823279558838,0.9608333333333334,0.5208984375,0.5208984375,0.6794243338360986
124,0.04791666666666666,0.08921767931506323,0.9609166666666666,0.5234375,0.5234375,0.6614047716988894
125,0.08958333333333335,0.1569094238070811,0.96175,0.5438368055555556,0.5438368055555556,0.6643258623097332
126,0.0875,0.15263071238051124,0.9613333333333334,0.5426215277777778,0.5426215277777778,0.6235502637779677
127,0.07916666666666668,0.14022379696472603,0.9613333333333334,0.5386284722222222,0.5386284722222222,0.6376482393723772
128,0.09479166666666666,0.16488227525375848,0.9616666666666667,0.5462890625,0.5462890625,0.6516536095483463
129,0.125,0.2055770411398609,0.9614583333333334,0.5606553819444444,0.5606553819444444,0.5901113557484793
130,0.128125,0.2114934755278103,0.9619166666666666,0.5623914930555556,0.5623914930555556,0.6200929152148664
131,0.128125,0.2121397532003492,0.962125,0.5625,0.5625,0.6358352758352759
132,0.13958333333333334,0.2267063716321253,0.9619583333333335,0.5679036458333334,0.5679036458333334,0.61677368202676
133,0.175,0.2693092077631757,0.962,0.5848958333333333,0.5848958333333334,0.5888929045092838
134,0.16979166666666667,0.2627077933939576,0.9619166666666666,0.5823567708333334,0.5823567708333334,0.5902374672733772
135,0.15416666666666667,0.24602841678713175,0.96225,0.5750434027777777,0.5750434027777777,0.6192723461025349
136,0.18125,0.2773756617852513,0.9623333333333333,0.588064236111111,0.588064236111111,0.6058686518783233
137,0.20520833333333335,0.3031590055319697,0.96225,0.5995008680555556,0.5995008680555556,0.5867291830318074
138,0.203125,0.3022509496193707,0.9624583333333334,0.5986111111111111,0.5986111111111111,0.5946585111729975
139,0.18229166666666666,0.2817993988456161,0.962875,0.5888454861111111,0.5888454861111111,0.6309045404327079
140,0.19583333333333336,0.29358631165771515,0.9623333333333333,0.5950520833333334,0.5950520833333334,0.5963709651543816
141,0.2229166666666667,0.32210807766284566,0.9624166666666666,0.6080729166666667,0.6080729166666666,0.5831248883880463
142,0.21666666666666665,0.3181818074896315,0.9628333333333332,0.6052951388888889,0.6052951388888889,0.6011184954050445
143,0.203125,0.30372642612722983,0.96275,0.5987630208333333,0.5987630208333333,0.6048978472507884
144,0.0,0.0,0.96,0.5,0.5,0.0
145,0.0,0.0,0.96,0.5,0.5,0.0
146,0.0,0.0,0.96,0.5,0.5,0.0
147,0.0,0.0,0.96,0.5,0.5,0.0
148,0.0,0.0,0.96,0.5,0.5,0.0
149,0.0,0.0,0.96,0.5,0.5,0.0
150,0.0,0.0,0.96,0.5,0.5,0.0
151,0.0010416666666666667,0.002072538860103627,0.9600416666666666,0.5005208333333333,0.5005208333333333,0.2
152,0.0,0.0,0.96,0.5,0.5,0.0
153,0.005208333333333333,0.010256735615728955,0.9600833333333332,0.5025390625,0.5025390625,0.4333333333333333
154,0.011458333333333333,0.022439264230454812,0.9603333333333334,0.5056640625,0.5056640625,0.6599999999999999
155,0.0125,0.024563597139085323,0.960375,0.5061848958333333,0.5061848958333333,0.85
156,0.00625,0.012265937302756155,0.96,0.5029947916666666,0.5029947916666666,0.35
