,mean_test_recall_score,mean_test_f1_score,mean_test_accuracy_score,mean_test_my_auc,mean_test_balanced_accuracy,mean_test_precision_score
0,0.10416666666666667,0.1779374000214557,0.7150000000000001,0.7637276785714286,0.5404761904761906,0.6485425685425685
1,0.2,0.3074109202908014,0.735,0.7743675595238095,0.5821428571428571,0.6847455648926236
2,0.2541666666666667,0.37023547806969276,0.7462500000000001,0.776376488095238,0.6056547619047619,0.7007015533486122
3,0.2666666666666667,0.38302280043548753,0.7474999999999999,0.7767113095238095,0.6101190476190477,0.7032589959060548
4,0.1875,0.28800870002876044,0.7275,0.7689360119047619,0.5732142857142858,0.6415598290598291
5,0.3125,0.4271990231990232,0.75375,0.7816220238095237,0.6276785714285714,0.690324816795405
6,0.32916666666666666,0.4390136735352181,0.7537499999999999,0.7837053571428572,0.6324404761904763,0.6765651271704272
7,0.33333333333333337,0.4464832982897894,0.75625,0.7831845238095239,0.6354166666666666,0.6895652173913043
8,0.26249999999999996,0.36948943661971834,0.7387499999999999,0.7781994047619049,0.6026785714285714,0.6437252964426878
9,0.3625,0.4749379426381413,0.76375,0.786421130952381,0.6491071428571428,0.7026894158473106
10,0.36666666666666664,0.46805060808718196,0.75625,0.7890252976190476,0.6449404761904762,0.6634173669467788
11,0.35833333333333334,0.46158501749625075,0.75625,0.7863467261904761,0.6425595238095239,0.6679948794399793
12,0.3166666666666667,0.420050484728827,0.7462500000000001,0.7845982142857143,0.6235119047619048,0.6503016266887235
13,0.4041666666666667,0.4988929284747853,0.76625,0.787797619047619,0.662797619047619,0.6799587272001065
14,0.3875,0.4822044237054676,0.7562499999999999,0.7876488095238094,0.6508928571428572,0.6535248447204969
15,0.4,0.5025876705553547,0.7675000000000001,0.78671875,0.6625,0.6906079427818559
16,0.3708333333333334,0.46757012844791584,0.75625,0.7877604166666667,0.6461309523809524,0.6586347108365037
17,0.4125,0.501173781949572,0.7612500000000001,0.7888020833333333,0.6616071428571428,0.6584093071049593
18,0.4125,0.5057090214011337,0.7637499999999999,0.7919642857142858,0.6633928571428571,0.672036417007954
19,0.3833333333333333,0.477463224602044,0.7537499999999999,0.7904389880952382,0.6479166666666666,0.6534248954619863
20,0.425,0.5182020392396574,0.77,0.7883928571428571,0.6714285714285715,0.6820313938827263
21,0.4291666666666667,0.5169989017189224,0.7637499999999999,0.78984375,0.6681547619047619,0.6672508544087492
22,0.4208333333333334,0.508122518626821,0.76125,0.7901413690476191,0.6639880952380952,0.6585021995548311
23,0.4083333333333334,0.497826205147258,0.7587499999999999,0.7866815476190476,0.6586309523809524,0.656669572798605
24,0.425,0.5082111312991222,0.7637500000000002,0.7857886904761905,0.6669642857142858,0.6573268836426731
25,0.4333333333333333,0.5206080842270163,0.7650000000000001,0.7904389880952382,0.6702380952380953,0.6707943496550308
26,0.4166666666666667,0.5071214145558096,0.7600000000000001,0.7864211309523809,0.6619047619047619,0.6590515873015873
27,0.4375,0.5254534016973712,0.7662500000000001,0.7854166666666667,0.6723214285714285,0.6695712601662258
28,0.4458333333333334,0.5394756921092272,0.77625,0.7909970238095237,0.6818452380952381,0.6961674641148325
29,0.45,0.5346435270732768,0.76875,0.7902157738095239,0.6776785714285716,0.6772827014657679
30,0.4291666666666667,0.5152883332194667,0.76,0.7866815476190477,0.6654761904761906,0.6558602720367426
31,0.425,0.5149541721423201,0.7625,0.783407738095238,0.6660714285714285,0.6653841469698247
32,0.4666666666666667,0.5464423460216219,0.7737499999999999,0.790625,0.6860119047619048,0.6732828692167211
33,0.475,0.5505887560239472,0.77375,0.7909598214285714,0.6883928571428571,0.6758729173289335
34,0.4416666666666666,0.5307751434873754,0.7687499999999999,0.7871279761904761,0.675297619047619,0.6753447777148966
35,0.45,0.5369174220423522,0.7699999999999999,0.7820684523809524,0.6785714285714286,0.6784983839689722
36,0.1,0.171228804633615,0.7137499999999999,0.7636532738095239,0.5383928571428572,0.6485425685425685
37,0.20416666666666666,0.313257434887316,0.7375,0.7750744047619047,0.5851190476190476,0.695873015873016
38,0.2541666666666667,0.37023547806969276,0.7462500000000001,0.777157738095238,0.6056547619047619,0.7007015533486122
39,0.2708333333333333,0.3860191810042912,0.7487499999999999,0.7756324404761905,0.6122023809523809,0.7004761904761906
40,0.1875,0.28800870002876044,0.7275,0.7686011904761905,0.5732142857142858,0.6415598290598291
41,0.3125,0.4287419247419247,0.755,0.7817336309523808,0.6285714285714286,0.6957615369380076
42,0.325,0.43544340414216387,0.7525000000000001,0.7839285714285713,0.6303571428571428,0.6750597508263413
43,0.33333333333333337,0.4442692739694407,0.7550000000000001,0.7811755952380952,0.6345238095238095,0.6826647966339412
44,0.26249999999999996,0.3679602615694165,0.7375,0.7781622023809524,0.6017857142857143,0.6362154150197629
45,0.3416666666666667,0.452710703620538,0.7575000000000001,0.785528273809524,0.6386904761904761,0.6873414304993253
46,0.3625,0.46492756946833314,0.75625,0.7892113095238096,0.64375,0.6647186147186148
47,0.3708333333333333,0.47630416068866577,0.7625,0.7860863095238095,0.650595238095238,0.6934204793028323
48,0.325,0.42595524556814884,0.7487499999999999,0.7842261904761905,0.6276785714285714,0.6497557997557998
49,0.39583333333333337,0.49168393314165176,0.7637499999999999,0.7874255952380953,0.6586309523809524,0.6813300804192645
50,0.39166666666666666,0.488871819237673,0.75875,0.7852306547619048,0.6538690476190476,0.6617819933616079
51,0.39166666666666666,0.48924882936511543,0.7625,0.78515625,0.656547619047619,0.6738535995160315
52,0.3666666666666667,0.46399985905486163,0.7550000000000001,0.7866443452380952,0.644047619047619,0.6571293344924177
