,mean_test_recall_score,mean_test_f1_score,mean_test_fbeta_score,mean_test_accuracy_score,mean_test_balanced_accuracy,mean_test_auc,mean_test_precision_score
0,0.7928647843869956,0.7083475666886458,0.7743542023772012,0.7097160658655985,0.7180905277878782,0.7180905277878782,0.6403297057086467
1,0.7717540139575219,0.7000154830070012,0.7562391290028059,0.7060467289719626,0.7126499191346021,0.7126499191346021,0.6405883512371182
2,0.7463010213604426,0.652105205974519,0.7252897394635468,0.646318202047174,0.6563798349150092,0.6563798349150092,0.5793737002277491
3,0.7979447433078283,0.7170333446728072,0.7803222342220628,0.7200591900311527,0.7277837774817786,0.7277837774817786,0.6511043926110028
4,0.7851669909339363,0.7132397142779492,0.7696247614111993,0.7193920783266577,0.7259044441483573,0.7259044441483573,0.653530287301411
5,0.8065280628902464,0.657142805401321,0.7711988160004205,0.6266248331108144,0.6446681124936979,0.6446681124936979,0.5556507734628218
6,0.7663748612851146,0.6989662139966786,0.7518641063580989,0.7067156208277704,0.7126751226180911,0.7126751226180911,0.6425233309633949
7,0.7633914847616593,0.6984137405296221,0.7494368534774145,0.7070489541611038,0.7126773435085652,0.7126773435085649,0.6437039667729546
8,0.7372920123514337,0.6437805064303832,0.7164219247590604,0.6376399643969738,0.6476685996412739,0.6476685996412739,0.5716682908829955
9,0.7805672606815955,0.7136547099530136,0.7661947826998508,0.7217263017356474,0.7274875819648953,0.7274875819648954,0.6573453537055259
10,0.7820249866291173,0.7155038896491905,0.7677423757877991,0.7237276368491322,0.729372122075986,0.7293721220759861,0.6594672462475226
11,0.8365799806972661,0.6734267878778215,0.7978086274058973,0.6399759679572763,0.659849492484741,0.659849492484741,0.5639931500609014
12,0.7694326093688851,0.7008708994034399,0.7546517163397902,0.708049399198932,0.7141762069104718,0.7141762069104718,0.6436504198299834
13,0.7431133171646244,0.6890870659513346,0.7316345763629571,0.7020404984423676,0.7060823613553306,0.7060823613553306,0.6424362999651347
14,0.7320367570961785,0.6415131883138561,0.7118827407224239,0.6366386292834891,0.6462428950905693,0.6462428950905693,0.5713002378833636
15,0.7700045747797981,0.702193204115662,0.7554001681875866,0.7097187360925679,0.7156528879240206,0.7156528879240205,0.6454703487876866
16,0.7572172747055953,0.6984478719548924,0.7446639595203812,0.7093854027592346,0.7140636491252593,0.7140636491252593,0.6483214709611209
17,0.8065280628902464,0.6575694671724263,0.7713054270764192,0.6272923898531375,0.6452690740321594,0.6452690740321594,0.5563170684908274
18,,,,,,,
19,,,,,,,
20,,,,,,,
21,,,,,,,
22,,,,,,,
23,,,,,,,
24,,,,,,,
25,,,,,,,
26,,,,,,,
27,,,,,,,
28,,,,,,,
29,,,,,,,
30,0.7639973410658191,0.6952763192943443,0.7491686129619407,0.702378282153983,0.7084556049812146,0.7084556049812146,0.6380430350845004
31,0.7678697730127941,0.6973345728744802,0.7526266805136985,0.7037125055629728,0.7100913401854714,0.7100913401854714,0.6387982646928214
32,0.751800507727276,0.6592694148516149,0.7312268370413568,0.6556519804183356,0.6649995125593025,0.6649995125593025,0.5873176143412773
33,0.7828820754964103,0.7114117927313279,0.7674485861148497,0.7177227414330218,0.7241604309009917,0.7241604309009919,0.6520018765307114
34,0.7866292394763421,0.7141460871789167,0.7709555022274104,0.7200600801068091,0.726661747431386,0.7266617474313861,0.6540728352066784
35,0.8003019631267316,0.6702666643841515,0.7703454666471031,0.6496537605696484,0.6648040350606914,0.6648040350606914,0.5769159713404137
36,0.7928647843869956,0.7083475666886458,0.7743542023772012,0.7097160658655985,0.7180905277878782,0.7180905277878782,0.6403297057086467
37,0.7484005902526925,0.6906272276344029,0.7360589074713348,0.7020382732532265,0.7066004551496601,0.7066004551496601,0.6413521011735297
38,0.7342671215714408,0.6413554398370924,0.7135330329134935,0.6353039608366712,0.645261765482769,0.645261765482769,0.5696821980718589
39,0.7979447433078283,0.7170333446728072,0.7803222342220628,0.7200591900311527,0.7277837774817786,0.7277837774817786,0.6511043926110028
40,0.7580407180747317,0.6975174057718515,0.7450402109688051,0.7080462839341345,0.7129888626617942,0.7129888626617942,0.6465245337890126
41,0.8206713363872613,0.6604335955673892,0.7826331036652191,0.6252937249666222,0.6448431204458344,0.6448431204458344,0.5528028314976764
42,0.7663748612851146,0.6989662139966786,0.7518641063580989,0.7067156208277704,0.7126751226180911,0.7126751226180911,0.6425233309633949
43,0.770861663647091,0.6973616714844141,0.754941914251874,0.7027080551846907,0.7094197689827966,0.7094197689827968,0.6367016499582289
44,0.7342671215714408,0.6413554398370924,0.7135330329134935,0.6353039608366712,0.645261765482769,0.645261765482769,0.5696821980718589
45,0.7805672606815955,0.7136547099530136,0.7661947826998508,0.7217263017356474,0.7274875819648953,0.7274875819648954,0.6573453537055259
46,0.7791555715854954,0.7107276504011286,0.7644178073024537,0.7180605251446373,0.7241595437668369,0.7241595437668369,0.6534874230815503
47,0.8206713363872613,0.6604335955673892,0.7826331036652191,0.6252937249666222,0.6448431204458344,0.6448431204458344,0.5528028314976764
48,0.7694326093688851,0.7008708994034399,0.7546517163397902,0.708049399198932,0.7141762069104718,0.7141762069104718,0.6436504198299834
