,mean_test_recall_score,mean_test_f1_score,mean_test_fbeta_score,mean_test_accuracy_score,mean_test_balanced_accuracy,mean_test_auc,mean_test_precision_score
0,0.8393487156647117,0.7925142921451136,0.8295436837286619,0.804663387345679,0.8081237390354428,0.8081237390354428,0.7506347112381089
1,0.8396731101283795,0.7927201225353303,0.8298421530621568,0.8048321759259258,0.8083077056855978,0.8083077056855978,0.7507456864803316
2,0.8443519967310112,0.7930837042969338,0.8335745006404582,0.8041811342592592,0.8081967449697669,0.808196744969767,0.7476879663151026
3,0.8550882989714355,0.8485967658984038,0.853781396080811,0.8643904320987655,0.8634611208604306,0.8634611208604307,0.8422110110237568
4,0.8550882989714355,0.8485968987404737,0.8537814147775441,0.8643904320987654,0.8634611888898629,0.863461188889863,0.8422113722156601
5,0.8551880538934502,0.8482635617632314,0.8537933831721405,0.8640287422839507,0.863144010513171,0.8631440105131709,0.8414591931189964
6,0.841737378820876,0.7959774839412183,0.8321681575368045,0.8082079475308643,0.8115520088435818,0.8115520088435818,0.7549467776951204
7,0.8419546038127694,0.7961421536202196,0.8323740716771263,0.80835262345679,0.811703889190649,0.8117038891906491,0.7550676880098669
8,0.8398958634831158,0.7946832428895176,0.8304455430216705,0.8070987654320987,0.8103715434546089,0.810371543454609,0.7540976443580396
9,0.8585028611641264,0.8496021695236688,0.8567063585341796,0.8649209104938271,0.8642811680760086,0.8642811680760086,0.8409015964671875
10,0.8585028611641264,0.8496935699482546,0.8567249420833261,0.8650173611111112,0.8643677869674438,0.8643677869674438,0.8410807170089976
11,0.8568142233988674,0.8486157864130734,0.8551605670793784,0.8641493055555556,0.8634153699141047,0.8634153699141046,0.8405884237624335
12,0.8327485675579034,0.7723583786776194,0.8199260320115186,0.7818287037037037,0.7869233580380258,0.7869233580380258,0.7201401680933792
13,0.8331809065116431,0.7726039748817904,0.8203167478821837,0.7820216049382716,0.7871395275148957,0.7871395275148957,0.7202433784005176
14,0.8324715974618833,0.7722216251530476,0.8196807768389484,0.7817322530864198,0.7868060649917993,0.7868060649917993,0.7201063728589439
