,mean_test_recall_score,mean_test_f1_score,mean_test_fbeta_score,mean_test_accuracy_score,mean_test_balanced_accuracy,mean_test_auc,mean_test_precision_score
0,0.7639773273562523,0.7079167746434631,0.7520599954946645,0.7198450404252305,0.7242638748057963,0.7242638748057963,0.6595719396300123
1,0.5819939569698769,0.5625658022556284,0.5779547031059223,0.5978469965584852,0.5962627509638256,0.5962627509638256,0.5448737925006405
2,0.8180125801008097,0.6887797673987794,0.7884229982078975,0.6715428315485902,0.686204501674846,0.686204501674846,0.5948295441019842
3,0.7649116078127829,0.7096555479796346,0.7531673080808364,0.7219154909300317,0.7262213279997844,0.7262213279997844,0.6619753048569567
4,0.5801308918242072,0.5613383500082957,0.5762209413639293,0.5971569796936915,0.5954554111381344,0.5954554111381345,0.544253678320249
5,0.8180134478535557,0.6887690700649278,0.7884190905249516,0.6715428315485902,0.6862049355512191,0.6862049355512191,0.5948223883815998
6,0.7704987784933847,0.7137500664370799,0.7584383308385263,0.7253663179447803,0.7298842625700903,0.7298842625700902,0.6647879763821792
7,0.5909994949679018,0.5681523622510173,0.5862464494494577,0.6007451473727028,0.5997719779856896,0.5997719779856897,0.5473826079950167
8,0.8186338910669483,0.688857274416636,0.7889059137602478,0.6714048053236074,0.6861425789164844,0.6861425789164844,0.5946119727399782
9,0.7692587598193454,0.714530576510071,0.7576503606878179,0.7268846635496505,0.7311271444402241,0.7311271444402241,0.6670911360799
10,0.5882047526239397,0.566118480270055,0.5836102449137537,0.5993649993829954,0.598250414066565,0.598250414066565,0.5460369275196815
11,0.8173924261383325,0.6885183408997476,0.7878914098215283,0.6714047481935476,0.6860186174407511,0.6860186174407511,0.5947791975992246
12,0.7590097321362973,0.7098273128690642,0.7486331325330293,0.7242622795350985,0.72774132905871,0.72774132905871,0.6666515163809382
13,0.5919308829152791,0.5694116584957617,0.5872490407491922,0.6021250097121102,0.6011070211893831,0.6011070211893832,0.5489101331397134
14,0.818323235583879,0.6886841930310371,0.7886295416129537,0.6712667790986249,0.6859872511749501,0.68598725117495,0.5945188494307483
15,0.7599422770873359,0.7101778111347218,0.7494344625448611,0.7244003057600811,0.7279592160399421,0.7279592160399422,0.6665718400276508
16,0.5919311721661943,0.5692320250483611,0.5872111151509473,0.6018490143922047,0.6008587803205537,0.6008587803205537,0.5485759970490139
17,0.8177030816214018,0.6886022016670322,0.78814461553239,0.6714047481935476,0.686049752435142,0.686049752435142,0.5947380831740418
18,0.7680126668760843,0.6907812724080579,0.7512114935428654,0.6944519856123658,0.7018155733784296,0.7018155733784296,0.627689261321242
19,0.6801286935172507,0.607682994962782,0.6641858540462743,0.6110958573850886,0.6180077148659279,0.6180077148659279,0.5499061205479211
20,0.8177019246177405,0.6885247914573069,0.7881265529494912,0.6712667790986248,0.6859249811861678,0.6859249811861678,0.5946068346823812
21,0.7723632898936309,0.6941023326050063,0.755317818721863,0.6974881055215061,0.7049844268643515,0.7049844268643515,0.6303326951286147
22,0.6804396382512352,0.608103843562808,0.6645209261423078,0.6116479051549596,0.6185357654743509,0.618535765474351,0.5504101648021223
23,0.8173927153892478,0.6883396311011927,0.7878451515728776,0.6711288100037022,0.6857703765719215,0.6857703765719215,0.59451055188849
24,,,,,,,
25,,,,,,,
26,,,,,,,
27,,,,,,,
28,,,,,,,
29,,,,,,,
30,,,,,,,
31,,,,,,,
32,,,,,,,
33,,,,,,,
34,,,,,,,
35,,,,,,,
36,,,,,,,
37,,,,,,,
38,,,,,,,
39,,,,,,,
40,,,,,,,
41,,,,,,,
42,0.7649087153036295,0.7034341695000997,0.7517589944877084,0.7133589504522414,0.7185199314223066,0.7185199314223066,0.6511861605001995
43,0.7173882609251517,0.6218466279374162,0.6959225912521978,0.6133041055946324,0.6237214528669474,0.6237214528669474,0.5492574345102433
