,mean_test_recall_score,mean_test_f1_score,mean_test_fbeta_score,mean_test_accuracy_score,mean_test_balanced_accuracy,mean_test_auc,mean_test_precision_score
0,0.7342342342342342,0.6996228175691073,0.7270051525043635,0.7200533867200534,0.7214714714714715,0.7214714714714715,0.6684799112965951
1,0.71996996996997,0.69569374324839,0.7149274016568024,0.720387053720387,0.7203453453453453,0.7203453453453453,0.6735670368915175
2,0.7229729729729731,0.6960378701184129,0.7173805899126773,0.7197197197197198,0.720045045045045,0.720045045045045,0.6714552817225671
3,0.7364864864864864,0.6999307835691951,0.7288277172800498,0.7197197197197197,0.7213963963963964,0.7213963963963964,0.6672720632100906
4,0.7282282282282283,0.6972905089988474,0.7217762929812258,0.7193860527193859,0.7202702702702704,0.7202702702702704,0.6693475841382833
5,0.7342342342342342,0.7007984562901265,0.7272565999969673,0.7217217217217217,0.7229729729729729,0.7229729729729729,0.6706510824034395
6,0.7214714714714714,0.6910218625983185,0.7151528221444522,0.7133800467133801,0.7141891891891893,0.714189189189189,0.6631990835595398
7,0.7222222222222223,0.69448973965103,0.7164878115646677,0.7177177177177178,0.7181681681681682,0.7181681681681681,0.6689332791701253
8,0.725975975975976,0.6964817714573971,0.7198507543585567,0.7190523857190524,0.7197447447447448,0.7197447447447446,0.6695799838127031
9,0.734984984984985,0.7010845368158103,0.7279075920954154,0.7217217217217217,0.723048048048048,0.723048048048048,0.6705352634458516
10,0.7282282282282283,0.69836606245476,0.7220323637482332,0.7207207207207208,0.7214714714714715,0.7214714714714715,0.67106561873881
11,0.7319819819819818,0.7002708352080322,0.725383426930812,0.7217217217217217,0.7227477477477476,0.7227477477477477,0.6714814335926865
12,0.7192192192192192,0.6975357116073729,0.7147589602352484,0.7230563897230563,0.7226726726726728,0.7226726726726728,0.6772980489465098
13,0.7192192192192192,0.6978110521156315,0.7148196756565413,0.7233900567233901,0.7229729729729729,0.7229729729729729,0.6777859894247537
14,0.713963963963964,0.6914514091471978,0.7093254261117746,0.7170503837170504,0.7167417417417417,0.7167417417417417,0.6705240832986025
15,0.7252252252252251,0.7003485514600358,0.7201009865013388,0.7243910577243909,0.7244744744744743,0.7244744744744746,0.677210959444125
16,0.7252252252252251,0.7000735543032537,0.720040824237366,0.7240573907240574,0.7241741741741742,0.7241741741741743,0.6767178845874479
17,0.7207207207207208,0.6968827335445168,0.7158111527315087,0.7213880547213881,0.7213213213213213,0.7213213213213213,0.6747000275225211
18,0.734984984984985,0.6946719891276766,0.7265276342132564,0.7130463797130465,0.7152402402402402,0.7152402402402402,0.6587845942840197
19,0.7244744744744746,0.6911245609903194,0.7175254278960903,0.7123790457123791,0.7135885885885886,0.7135885885885885,0.660946965851017
20,0.7297297297297298,0.690983533868217,0.7216049163855199,0.7100433767100434,0.712012012012012,0.712012012012012,0.6564495921236831
21,0.7492492492492492,0.7036563845571621,0.7396325890056965,0.7197197197197197,0.7226726726726728,0.7226726726726728,0.6635779722606069
22,0.7387387387387387,0.7016199306207013,0.7309740981247259,0.7210543877210543,0.7228228228228227,0.722822822822823,0.6683404058783681
23,0.7312312312312312,0.6950087901892029,0.7236453858436239,0.7150483817150484,0.7166666666666667,0.7166666666666667,0.6626222870973618
24,,,,,,,
25,,,,,,,
26,,,,,,,
27,,,,,,,
28,,,,,,,
29,,,,,,,
30,,,,,,,
31,,,,,,,
32,,,,,,,
33,,,,,,,
34,,,,,,,
35,,,,,,,
36,,,,,,,
37,,,,,,,
38,,,,,,,
39,,,,,,,
40,,,,,,,
41,,,,,,,
42,0.725975975975976,0.6893987776664509,0.7183337966673654,0.7093760427093759,0.711036036036036,0.711036036036036,0.6565195031413037
43,0.7282282282282283,0.6957362577420435,0.7214750443660621,0.7170503837170504,0.7181681681681682,0.7181681681681682,0.6661618856299097
44,0.7244744744744746,0.6849406940198768,0.7161619326913161,0.7037037037037037,0.7057807807807808,0.7057807807807808,0.6499115030627635
45,0.743993993993994,0.7026324213391737,0.7353050312783928,0.720387053720387,0.7227477477477477,0.7227477477477477,0.6659220345853766
46,0.7387387387387387,0.7017174131629988,0.7310043324636942,0.7210543877210543,0.7228228228228227,0.7228228228228227,0.6684301048846861
47,0.734984984984985,0.6925945957150113,0.726057416325796,0.7100433767100434,0.7125375375375377,0.7125375375375375,0.6551878052997742
48,0.7342342342342342,0.6996228175691073,0.7270051525043635,0.7200533867200534,0.7214714714714715,0.7214714714714715,0.6684799112965951
49,0.71996996996997,0.69569374324839,0.7149274016568024,0.720387053720387,0.7203453453453453,0.7203453453453453,0.6735670368915175
50,0.7229729729729731,0.6960378701184129,0.7173805899126773,0.7197197197197198,0.720045045045045,0.720045045045045,0.6714552817225671
51,0.7364864864864864,0.6999307835691951,0.7288277172800498,0.7197197197197197,0.7213963963963964,0.7213963963963964,0.6672720632100906
52,0.7282282282282283,0.6972905089988474,0.7217762929812258,0.7193860527193859,0.7202702702702704,0.7202702702702704,0.6693475841382833
53,0.7342342342342342,0.7007984562901265,0.7272565999969673,0.7217217217217217,0.7229729729729729,0.7229729729729729,0.6706510824034395
54,0.7214714714714714,0.6910218625983185,0.7151528221444522,0.7133800467133801,0.7141891891891893,0.714189189189189,0.6631990835595398
55,0.7222222222222223,0.69448973965103,0.7164878115646677,0.7177177177177178,0.7181681681681682,0.7181681681681681,0.6689332791701253
56,0.725975975975976,0.6964817714573971,0.7198507543585567,0.7190523857190524,0.7197447447447448,0.7197447447447446,0.6695799838127031
57,0.734984984984985,0.7010845368158103,0.7279075920954154,0.7217217217217217,0.723048048048048,0.723048048048048,0.6705352634458516
58,0.7282282282282283,0.69836606245476,0.7220323637482332,0.7207207207207208,0.7214714714714715,0.7214714714714715,0.67106561873881
59,0.7319819819819818,0.7002708352080322,0.725383426930812,0.7217217217217217,0.7227477477477476,0.7227477477477477,0.6714814335926865
60,0.7192192192192192,0.6975357116073729,0.7147589602352484,0.7230563897230563,0.7226726726726728,0.7226726726726728,0.6772980489465098
