,mean_test_recall_score,mean_test_f1_score,mean_test_accuracy_score,mean_test_precision_score,mean_test_auc,mean_test_fbeta_score,mean_test_balanced_accuracy
0,0.8608402330689574,0.8809122547847517,0.896556712962963,0.9019470375621139,0.8929852788977504,0.8647808162558215,0.8929852788977504
1,0.8643134808910127,0.8825789544495475,0.8977864583333334,0.9016392324097319,0.894440510808269,0.8679054032027707,0.894440510808269
2,0.8384353907900718,0.8754249421436442,0.8939525462962963,0.9158520604218869,0.8884030364765474,0.8455796328717065,0.8884030364765474
3,0.8413125759560828,0.8762906291753557,0.8944347993827162,0.9143328253386805,0.8891257428842807,0.8480811209400944,0.8891257428842807
4,0.9143313927042724,0.9141561752946807,0.9236834490740742,0.9139892922845679,0.9227475202645454,0.9142956808991857,0.9227475202645454
5,0.916010154027894,0.9152655928973296,0.9246238425925926,0.9145242641131912,0.9237607917655238,0.9158609822485727,0.9237607917655238
6,0.8923656607587107,0.9085784810122595,0.9201871141975309,0.9254126956051605,0.9174084246213222,0.8955602229585012,0.9174084246213223
7,0.894322044000839,0.9092317811036461,0.9206452546296297,0.9246870546289123,0.9180176614290597,0.8972618305823621,0.9180176614290596
8,0.8525425288949979,0.8755076728192588,0.8922405478395061,0.8997550879757947,0.888272355014309,0.857037918624833,0.888272355014309
9,0.8518333187697931,0.8756826481026515,0.8925057870370371,0.9009120505917364,0.8884384114411858,0.8564982651984292,0.8884384114411857
10,0.8317067973601122,0.8706014238043709,0.8901186342592592,0.9133206951561899,0.8842789677662265,0.8392046725095601,0.8842789677662264
11,0.8308376424012448,0.869837939336187,0.8894917052469136,0.9126866659002908,0.8836274438668796,0.8383549761897043,0.8836274438668796
12,0.8916627122280514,0.9004509979721121,0.9123746141975309,0.9094194642328353,0.9103052503323078,0.8934062226479088,0.9103052503323078
13,0.8907889919088915,0.8997960764041524,0.9118200231481481,0.9089874322189937,0.9097167925375784,0.8925759340060857,0.9097167925375784
14,0.8691949818697741,0.8951261999058204,0.9094810956790124,0.9226632641981223,0.9054536741443572,0.8742595805471498,0.9054536741443572
15,0.8690874869147878,0.8946900333052601,0.9090711805555556,0.9218594224815582,0.905074167536958,0.8740892409895147,0.9050741675369581
16,0.8417494129795478,0.8694288408116725,0.8876350308641976,0.8990214412588544,0.883050720849169,0.847141343093851,0.8830507208491689
17,0.8428343371012181,0.8699910225454688,0.8880449459876543,0.8989761917122278,0.8835277047894745,0.8481278363652703,0.8835277047894746
18,0.8011211731306884,0.8547703747777287,0.8790268132716049,0.9162143291483599,0.8712436335115269,0.8113001954335555,0.8712436335115269
19,0.800790675962481,0.8546052246831828,0.87890625,0.916226480802008,0.871099819071743,0.8110015457453745,0.8710998190717429
20,0.8713130373777819,0.8881754790493763,0.9024884259259258,0.9057085234755692,0.8993722038221554,0.8746337446170086,0.8993722038221555
21,0.8722905811275539,0.888557880470769,0.9027536651234567,0.9054512624869651,0.8997093783555734,0.8754956508582948,0.8997093783555734
22,0.8443573207003782,0.8816773244720284,0.8992814429012346,0.9224908293486906,0.893794964147497,0.8515637746107069,0.893794964147497
23,0.8455995589287192,0.8823330979142355,0.8997636959876543,0.9224340125950181,0.8943515592122724,0.852697565480981,0.8943515592122724
24,0.8608402330689574,0.8809122547847517,0.896556712962963,0.9019470375621139,0.8929852788977504,0.8647808162558215,0.8929852788977504
25,0.8643134808910127,0.8825789544495475,0.8977864583333334,0.9016392324097319,0.894440510808269,0.8679054032027707,0.894440510808269
26,0.838869042134391,0.8756786761096185,0.8941454475308642,0.9158888290566625,0.8886198621487069,0.8459799147654986,0.8886198621487069
27,0.8413125759560828,0.8762906291753557,0.8944347993827162,0.9143328253386805,0.8891257428842807,0.8480811209400944,0.8891257428842807
28,0.9159056470753171,0.915061681126591,0.9244309413580247,0.9142234022014425,0.92357817885949,0.9157363967228881,0.92357817885949
29,0.9144884830637051,0.9144869558531928,0.9239969135802468,0.9144944869847689,0.9230430990776776,0.9144874538545003,0.9230430990776776
